sender,recipient,share,power1,order_type,power2,stance of recipient
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,hold,,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,GERMANY,1,ENGLAND,hold,,neutral
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,RUSSIA,0,ENGLAND,hold,,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,hold,,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,GERMANY,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,FRANCE,0,ENGLAND,support,GERMANY,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,GERMANY,1,ENGLAND,support,GERMANY,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,support,GERMANY,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,neutral
ENGLAND,RUSSIA,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,support,GERMANY,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,support,GERMANY,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,attack,FRANCE,neutral
ENGLAND,AUSTRIA,1,ENGLAND,hold,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,FRANCE,1,ENGLAND,attack,FRANCE,enemy
ENGLAND,FRANCE,1,ENGLAND,support,RUSSIA,enemy
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,GERMANY,0,ENGLAND,attack,FRANCE,neutral
ENGLAND,GERMANY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,attack,FRANCE,neutral
ENGLAND,ITALY,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,1,ENGLAND,attack,FRANCE,enemy
ENGLAND,RUSSIA,0,ENGLAND,hold,,enemy
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,attack,FRANCE,neutral
ENGLAND,TURKEY,1,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,hold,,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,hold,,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,hold,,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,RUSSIA,1,ENGLAND,hold,,enemy
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,TURKEY,1,ENGLAND,hold,,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,enemy
ENGLAND,FRANCE,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,support,RUSSIA,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,neutral
ENGLAND,GERMANY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,neutral
ENGLAND,GERMANY,0,ENGLAND,support,RUSSIA,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,RUSSIA,enemy
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,GERMANY,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,enemy
ENGLAND,FRANCE,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,convoy,ENGLAND,enemy
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,convoy,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,hold,,enemy
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,1,ENGLAND,hold,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,hold,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,0,ENGLAND,hold,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,enemy
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,FRANCE,0,ENGLAND,move,,enemy
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,1,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,0,ENGLAND,hold,,neutral
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,GERMANY,1,ENGLAND,hold,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,1,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,0,ENGLAND,hold,,enemy
ENGLAND,RUSSIA,0,ENGLAND,attack,GERMANY,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,attack,RUSSIA,enemy
ENGLAND,TURKEY,0,ENGLAND,hold,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,hold,,neutral
ENGLAND,FRANCE,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,GERMANY,1,ENGLAND,hold,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,ITALY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,RUSSIA,1,ENGLAND,hold,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,0,ENGLAND,support,ENGLAND,enemy
ENGLAND,TURKEY,0,ENGLAND,hold,,neutral
ENGLAND,TURKEY,0,ENGLAND,support,ENGLAND,neutral
ENGLAND,TURKEY,1,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,hold,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,support,RUSSIA,neutral
ENGLAND,FRANCE,0,ENGLAND,hold,,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,0,ENGLAND,support,RUSSIA,neutral
ENGLAND,GERMANY,0,ENGLAND,hold,,enemy
ENGLAND,GERMANY,1,ENGLAND,move,,enemy
ENGLAND,GERMANY,1,ENGLAND,move,,enemy
ENGLAND,GERMANY,1,ENGLAND,support,RUSSIA,enemy
ENGLAND,ITALY,1,ENGLAND,hold,,neutral
ENGLAND,ITALY,1,ENGLAND,move,,neutral
ENGLAND,ITALY,0,ENGLAND,move,,neutral
ENGLAND,ITALY,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,RUSSIA,1,ENGLAND,hold,,enemy
ENGLAND,RUSSIA,0,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,move,,enemy
ENGLAND,RUSSIA,1,ENGLAND,support,RUSSIA,enemy
ENGLAND,TURKEY,1,ENGLAND,hold,,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,0,ENGLAND,move,,neutral
ENGLAND,TURKEY,1,ENGLAND,support,RUSSIA,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,0,ENGLAND,move,,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,AUSTRIA,1,ENGLAND,attack,FRANCE,neutral
ENGLAND,FRANCE,0,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,move,,neutral
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,1,ENGLAND,support,ENGLAND,neutral
ENGLAND,FRANCE,0,ENGLAND,attack,FRANCE,neutral
ENGLAND,GERMANY,1,ENGLAND,move,,enemy
ENGLAND,GERMANY,0,ENGLAND,move,,enemy
