sender,recipient,share,power1,order_type,power2,stance of recipient
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,enemy
RUSSIA,GERMANY,0,RUSSIA,move,,enemy
RUSSIA,GERMANY,1,RUSSIA,move,,enemy
RUSSIA,GERMANY,0,RUSSIA,move,,enemy
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,AUSTRIA,0,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,AUSTRIA,0,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,0,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,enemy
RUSSIA,GERMANY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,GERMANY,0,RUSSIA,move,,enemy
RUSSIA,GERMANY,0,RUSSIA,move,,enemy
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,AUSTRIA,0,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,AUSTRIA,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,AUSTRIA,0,RUSSIA,move,,enemy
RUSSIA,AUSTRIA,1,RUSSIA,attack,ITALY,enemy
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ITALY,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ITALY,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,enemy
RUSSIA,GERMANY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,GERMANY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,GERMANY,1,RUSSIA,move,,enemy
RUSSIA,GERMANY,0,RUSSIA,attack,ITALY,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ITALY,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ITALY,enemy
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ITALY,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ITALY,neutral
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,ITALY,neutral
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,attack,ITALY,enemy
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ITALY,enemy
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ITALY,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ITALY,neutral
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,attack,ITALY,neutral
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ITALY,enemy
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,TURKEY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,enemy
RUSSIA,TURKEY,1,RUSSIA,attack,ITALY,enemy
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ITALY,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,TURKEY,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ITALY,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,TURKEY,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,attack,ITALY,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,TURKEY,neutral
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,attack,ITALY,enemy
RUSSIA,ITALY,1,RUSSIA,attack,TURKEY,enemy
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,ITALY,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,TURKEY,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,GERMANY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,GERMANY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ITALY,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ITALY,0,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,attack,FRANCE,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,attack,ITALY,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,FRANCE,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,FRANCE,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,attack,ITALY,neutral
RUSSIA,ITALY,1,RUSSIA,attack,ENGLAND,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,attack,FRANCE,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,attack,ITALY,enemy
RUSSIA,TURKEY,1,RUSSIA,attack,ENGLAND,neutral
RUSSIA,TURKEY,1,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,attack,ITALY,neutral
RUSSIA,ENGLAND,0,RUSSIA,support,ENGLAND,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,ITALY,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,support,ENGLAND,enemy
RUSSIA,FRANCE,1,RUSSIA,attack,FRANCE,enemy
RUSSIA,FRANCE,1,RUSSIA,move,,enemy
RUSSIA,FRANCE,0,RUSSIA,support,ITALY,enemy
RUSSIA,FRANCE,1,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,support,ENGLAND,enemy
RUSSIA,ITALY,0,RUSSIA,attack,FRANCE,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,ITALY,0,RUSSIA,support,ITALY,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,support,ENGLAND,neutral
RUSSIA,TURKEY,1,RUSSIA,attack,FRANCE,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,support,ITALY,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ENGLAND,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,ENGLAND,1,RUSSIA,move,,enemy
RUSSIA,ENGLAND,1,RUSSIA,move,,enemy
RUSSIA,ENGLAND,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,FRANCE,1,RUSSIA,move,,enemy
RUSSIA,FRANCE,0,RUSSIA,move,,enemy
RUSSIA,FRANCE,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,1,RUSSIA,move,,enemy
RUSSIA,ITALY,1,RUSSIA,support,RUSSIA,enemy
RUSSIA,ITALY,0,RUSSIA,move,,enemy
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,support,RUSSIA,neutral
RUSSIA,TURKEY,1,RUSSIA,move,,neutral
